"Displacements:0","Displacements:1","Displacements:2","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.11801,0,0.15885,-1.1176,-0.53323,-0.65408,-0.0002837,0,0,-0.60251,0.15711,0,-0.00073761,0,0,1.0171,0.0028384,0,1.0171,-0.53323,-1.1176,-0.65408,-89.972,-0.76829,0.53425,-0.0065009,0.84,0,0
0.10564,0,0.13856,-1.1136,-0.50947,-0.62549,-0.00039814,0,0,-0.63457,0.15083,0,-0.0010352,0,0,1.0111,0.0032375,0,1.0111,-0.50947,-1.1136,-0.62549,-89.962,-0.74952,0.55531,-0.0075168,0.86,0,0
0.092627,0,0.1184,-1.1101,-0.48421,-0.5967,-0.00044619,0,0,-0.66744,0.14624,0,-0.0011601,0,0,1.0045,0.003489,0,1.0045,-0.48421,-1.1101,-0.5967,-89.959,-0.73035,0.57793,-0.0086617,0.88,0,0
0.078944,0,0.098381,-1.1072,-0.45741,-0.56776,-0.00043467,0,0,-0.70128,0.14347,0,-0.0011301,0,0,0.99767,0.0035303,0,0.99767,-0.45741,-1.1072,-0.56776,-89.962,-0.71079,0.60226,-0.0099613,0.9,0,0
0.064575,0,0.078496,-1.1049,-0.42925,-0.53875,-0.00038032,0,0,-0.73601,0.14234,0,-0.00098883,0,0,0.99101,0.0033115,0,0.99101,-0.42925,-1.1049,-0.53875,-89.968,-0.69097,0.62811,-0.011434,0.92,0,0
0.049504,0,0.058741,-1.1032,-0.4002,-0.50975,-0.00030143,0,0,-0.77143,0.14241,0,-0.00078373,0,0,0.98507,0.0028112,0,0.98507,-0.4002,-1.1032,-0.50975,-89.975,-0.67103,0.65508,-0.013088,0.94,0,0
0.033718,0,0.039094,-1.1018,-0.37083,-0.48088,-0.00021049,0,0,-0.80718,0.14306,0,-0.00054727,0,0,0.98036,0.0020473,0,0.98037,-0.37083,-1.1018,-0.48088,-89.984,-0.65117,0.68261,-0.014915,0.96,0,0
0.017216,0,0.019526,-1.1007,-0.34169,-0.45223,-0.00011087,0,0,-0.84296,0.1437,0,-0.00028826,0,0,0.97734,0.0010794,0,0.97734,-0.34169,-1.1007,-0.45223,-89.992,-0.63153,0.71018,-0.016904,0.98,0,0
0,0,0,-1.0757,-0.30286,-0.41358,-1.0915e-17,0,0,-0.86082,0.14394,0,-2.8345e-17,0,0,0.9763,-2.1684e-18,0,0.9763,-0.30286,-1.0757,-0.41358,-90,-0.5974,0.72391,-0.017957,1,0,0
0,0.0032844,1,-1.0654,-1.7072,-1.8318,0.0017706,0,0,0.99628,0.16195,0,0.0046036,0,0,0.91686,-7.1254e-16,0,0.91685,-1.0654,-1.7072,-1.8318,0.15807,-1.5348,0.71231,0.016665,0,0.02,0
0.019926,0.0033765,0.98166,-1.0446,-1.6672,-1.7952,0.0047713,0,0,0.97579,0.16641,0,0.012405,0,0,0.9197,-0.0057113,0,0.91972,-1.0446,-1.6672,-1.7952,0.43905,-1.5023,0.69554,0.015329,0.02,0.02,0
0.039031,0.0036628,0.96321,-1.0513,-1.6283,-1.7671,0.010014,0,0,0.93054,0.1804,0,0.026036,0,0,0.92804,-0.011058,0,0.92812,-1.0511,-1.6285,-1.7671,0.99391,-1.4823,0.65772,0.012454,0.04,0.02,0
0.057147,0.0041563,0.94454,-1.0633,-1.5798,-1.7375,0.015629,0,0,0.87642,0.20494,0,0.040635,0,0,0.94124,-0.015539,0,0.9414,-1.0629,-1.5803,-1.7375,1.7315,-1.4602,0.6114,0.0091746,0.06,0.02,0
0.074088,0.0048534,0.92556,-1.0803,-1.5211,-1.706,0.020768,0,0,0.81337,0.24036,0,0.053998,0,0,0.95812,-0.01854,0,0.95835,-1.0793,-1.5221,-1.706,2.6917,-1.4358,0.55791,0.005761,0.08,0.02,0
0.089682,0.0057081,0.90622,-1.1009,-1.4536,-1.6726,0.024013,0,0,0.74317,0.28463,0,0.062434,0,0,0.977,-0.019597,0,0.97725,-1.0993,-1.4553,-1.6726,3.8768,-1.409,0.50131,0.0026161,0.1,0.02,0
0.10382,0.0066229,0.88648,-1.1228,-1.3824,-1.638,0.024108,0,0,0.66978,0.33238,0,0.06268,0,0,0.99595,-0.018655,0,0.99617,-1.1206,-1.3846,-1.638,5.2621,-1.3811,0.44814,0.00016278,0.12,0.02,0
0.11647,0.0074738,0.86638,-1.1435,-1.3141,-1.6037,0.021045,0,0,0.59823,0.37639,0,0.054717,0,0,1.0132,-0.01615,0,1.0134,-1.1409,-1.3167,-1.6037,6.9279,-1.3538,0.40458,-0.0013672,0.14,0.02,0
0.12774,0.0081566,0.84595,-1.1606,-1.2543,-1.5704,0.015988,0,0,0.53276,0.41098,0,0.041569,0,0,1.0277,-0.012759,0,1.0278,-1.1579,-1.2569,-1.5704,9.4233,-1.3284,0.37296,-0.0020452,0.16,0.02,0
0.13778,0.0086174,0.82527,-1.1728,-1.205,-1.5386,0.010444,0,0,0.47556,0.43368,0,0.027156,0,0,1.0386,-0.009085,0,1.0386,-1.1697,-1.2081,-1.5386,16.479,-1.3055,0.35129,-0.002137,0.18,0.02,0
0.14677,0.0088482,0.80441,-1.1798,-1.1661,-1.5082,0.0053203,0,0,0.42691,0.44468,0,0.013833,0,0,1.0459,-0.0054464,0,1.0459,-1.1643,-1.1816,-1.5082,71.047,-1.2847,0.33556,-0.0019232,0.2,0.02,0
0.15486,0.0088658,0.78344,-1.1819,-1.1365,-1.479,0.00081482,0,0,0.38615,0.44519,0,0.0021185,0,0,1.0496,-0.0019005,0,1.0496,-1.1365,-1.182,-1.479,88.972,-1.2658,0.32216,-0.0016027,0.22,0.02,0
0.16221,0.0086907,0.76243,-1.1797,-1.1152,-1.4509,-0.0033138,0,0,0.3526,0.43637,0,-0.0086158,0,0,1.0497,0.0016349,0,1.0497,-1.1151,-1.1798,-1.4509,-87.064,-1.2486,0.30859,-0.0012879,0.24,0.02,0
0.16896,0.0083397,0.74145,-1.1733,-1.1017,-1.424,-0.0073212,0,0,0.32585,0.4189,0,-0.019035,0,0,1.0462,0.0052395,0,1.0462,-1.101,-1.1741,-1.424,-84.219,-1.233,0.29335,-0.0010304,0.26,0.02,0
0.17525,0.0078294,0.72058,-1.1631,-1.0957,-1.3982,-0.011131,0,0,0.30562,0.39332,0,-0.02894,0,0,1.0392,0.0088503,0,1.0392,-1.0939,-1.1649,-1.3982,-80.87,-1.219,0.27577,-0.00084097,0.28,0.02,0
0.18119,0.0071887,0.69988,-1.1497,-1.0962,-1.3737,-0.014216,0,0,0.2911,0.36073,0,-0.036962,0,0,1.0287,0.012148,0,1.0288,-1.0926,-1.1533,-1.3737,-76.02,-1.2065,0.25614,-0.00070274,0.3,0.02,0
0.18689,0.0064693,0.67943,-1.1343,-1.1011,-1.3501,-0.015739,0,0,0.28045,0.32364,0,-0.040921,0,0,1.0155,0.014543,0,1.0156,-1.0948,-1.1406,-1.3501,-68.27,-1.1952,0.2357,-0.00058796,0.32,0.02,0
0.19241,0.0057441,0.65926,-1.1185,-1.1068,-1.3269,-0.015187,0,0,0.27084,0.28607,0,-0.039485,0,0,1.0007,0.0154,0,1.0008,-1.0964,-1.1289,-1.3269,-55.546,-1.1841,0.21604,-0.00047851,0.34,0.02,0
0.19772,0.0050867,0.6394,-1.104,-1.1093,-1.3034,-0.012731,0,0,0.25921,0.25229,0,-0.033101,0,0,0.98598,0.014366,0,0.98612,-1.0937,-1.1197,-1.3034,-39.096,-1.1723,0.19801,-0.00037566,0.36,0.02,0
0.20278,0.004547,0.61982,-1.0922,-1.1063,-1.2794,-0.009194,0,0,0.24331,0.225,0,-0.023904,0,0,0.97313,0.011609,0,0.97322,-1.0877,-1.1108,-1.2794,-26.274,-1.1593,0.18123,-0.00028894,0.38,0.02,0
0.20746,0.0041436,0.60047,-1.0839,-1.0972,-1.2548,-0.005369,0,0,0.22212,0.20492,0,-0.013959,0,0,0.96352,0.0077319,0,0.96356,-1.082,-1.0991,-1.2548,-19.528,-1.1453,0.16491,-0.00022206,0.4,0.02,0
0.21166,0.0038718,0.58128,-1.0794,-1.0824,-1.2298,-0.0017589,0,0,0.19561,0.19159,0,-0.0045731,0,0,0.95791,0.0034909,0,0.95791,-1.0785,-1.0832,-1.2298,-24.334,-1.1305,0.14898,-0.00016926,0.42,0.02,0
0.21528,0.0037168,0.56216,-1.0782,-1.0628,-1.2045,0.0014618,0,0,0.16417,0.18413,0,0.0038006,0,0,0.95636,-0.00049355,0,0.95635,-1.0627,-1.0783,-1.2045,84.611,-1.1152,0.13464,-0.00011969,0.44,0.02,0
0.21823,0.0036618,0.54303,-1.08,-1.0389,-1.1787,0.004229,0,0,0.12834,0.1817,0,0.010995,0,0,0.95845,-0.0038329,0,0.95846,-1.0385,-1.0804,-1.1787,84.178,-1.0992,0.12465,-6.2883e-05,0.46,0.02,0
0.22041,0.0036896,0.52382,-1.0843,-1.0114,-1.1525,0.0064821,0,0,0.088733,0.18344,0,0.016854,0,0,0.96346,-0.0063428,0,0.96348,-1.0108,-1.0848,-1.1525,84.955,-1.0827,0.12274,7.3241e-06,0.48,0.02,0
0.22178,0.0037814,0.50449,-1.0905,-0.98095,-1.1259,0.0081242,0,0,0.046085,0.18845,0,0.021123,0,0,0.97054,-0.0079776,0,0.97058,-0.98035,-1.0911,-1.1259,85.78,-1.0658,0.13165,9.0075e-05,0.5,0.02,0
0.22226,0.0039158,0.485,-1.0979,-0.94841,-1.0989,0.0090645,0,0,0.0012845,0.19563,0,0.023568,0,0,0.97886,-0.0087907,0,0.97891,-0.94786,-1.0984,-1.0989,86.543,-1.0484,0.15081,0.00017617,0.52,0.02,0
0.22183,0.0040697,0.46533,-1.1059,-0.91482,-1.0716,0.0092779,0,0,-0.044663,0.20375,0,0.024122,0,0,0.98765,-0.0089072,0,0.98771,-0.91438,-1.1064,-1.0716,87.227,-1.0308,0.17717,0.00024886,0.54,0.02,0
0.22047,0.0042204,0.44549,-1.1138,-0.88122,-1.044,0.0088392,0,0,-0.090763,0.21162,0,0.022982,0,0,0.99632,-0.008494,0,0.99636,-0.88089,-1.1142,-1.044,87.827,-1.013,0.2073,0.00028716,0.56,0.02,0
0.2182,0.0043488,0.42548,-1.1211,-0.84845,-1.0164,0.0079075,0,0,-0.13617,0.21826,0,0.020559,0,0,1.0044,-0.0077251,0,1.0044,-0.84822,-1.1213,-1.0164,88.34,-0.9953,0.23861,0.00027051,0.58,0.02,0
0.21502,0.0044419,0.40532,-1.1273,-0.8171,-0.98864,0.0066767,0,0,-0.18028,0.22301,0,0.017359,0,0,1.0116,-0.006753,0,1.0117,-0.81695,-1.1275,-0.98864,88.768,-0.97769,0.26941,0.00018288,0.6,0.02,0
0.21099,0.0044926,0.38502,-1.1323,-0.78744,-0.96093,0.0053223,0,0,-0.22276,0.22554,0,0.013838,0,0,1.0179,-0.005691,0,1.0179,-0.78736,-1.1324,-0.96093,89.116,-0.96022,0.29879,1.4755e-05,0.62,0.02,0
0.20611,0.0044991,0.3646,-1.1359,-0.75953,-0.93324,0.0039708,0,0,-0.26349,0.22582,0,0.010324,0,0,1.023,-0.0046111,0,1.023,-0.75948,-1.136,-0.93324,89.396,-0.94289,0.32636,-0.0002371,0.64,0.02,0
