"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.0425107,0.0115072,0.0259337,5.81897e-05,0.00779756,0.000140675,0,0,0.0471539,-0.0201224,0,0.000731509,0,0,0,0.0259345,5.7425e-05,0.00779756,0.311482,0.0112631,0.0230052,3.95043e-07,0.84,0.02,0
0.0434515,0.0116821,0.0258273,4.84405e-05,0.00776273,9.41928e-05,0,0,0.046968,-0.0200572,0,0.000489802,0,0,0,0.0258277,4.80964e-05,0.00776273,0.209348,0.0112128,0.0229177,3.90332e-07,0.86,0.02,0
0.0443894,0.011833,0.0257567,3.73682e-05,0.00773821,5.67351e-05,0,0,0.046848,-0.0200222,0,0.000295022,0,0,0,0.0257568,3.72431e-05,0.00773821,0.12639,0.0111774,0.0228634,3.873e-07,0.88,0.02,0
0.0453254,0.0119595,0.0257143,2.62271e-05,0.00772215,2.89248e-05,0,0,0.0467795,-0.0200094,0,0.000150409,0,0,0,0.0257143,2.61945e-05,0.00772215,0.0645151,0.0111542,0.0228344,3.85564e-07,0.9,0.02,0
0.0462606,0.012062,0.0256925,1.60063e-05,0.00771254,1.04045e-05,0,0,0.0467478,-0.020011,0,5.41036e-05,0,0,0,0.0256925,1.60021e-05,0.00771254,0.0232172,0.0111403,0.0228232,3.84747e-07,0.92,0.02,0
0.0471953,0.0121408,0.025684,7.43551e-06,0.00770743,6.42084e-08,0,0,0.0467391,-0.02002,0,3.33884e-07,0,0,0,0.025684,7.43551e-06,0.00770743,0.000143277,0.011133,0.0228225,3.84504e-07,0.94,0.02,0
0.0481301,0.0121966,0.0256827,1.01338e-06,0.00770511,-3.74501e-06,0,0,0.0467417,-0.0200307,0,-1.94741e-05,0,0,0,0.0256827,1.01283e-06,0.00770511,-0.00835511,0.0111296,0.0228265,3.84549e-07,0.96,0.02,0
0.049065,0.0122299,0.0256839,-2.94953e-06,0.00770427,-3.02805e-06,0,0,0.0467469,-0.0200388,0,-1.57459e-05,0,0,0,0.0256839,-2.94989e-06,0.00770427,-0.00675424,0.0111284,0.0228307,3.84665e-07,0.98,0.02,0
0.05,0.0122409,0.0256846,-4.28766e-06,0.00770409,0.000106193,0,0,0.0467493,-0.0200418,0,0.000552205,0,0,0,0.025685,-4.72664e-06,0.00770409,0.236845,0.0111281,0.0228331,3.84745e-07,1,0.02,0
0,0,0.0368832,0.0158071,0.0158071,0.0112771,0,0,0.0547979,0,0,0.0586409,0,0,0,0.0417796,0.0109106,0.0158071,23.4701,0.0228325,0.0287354,1.10031e-06,0,0.04,0
