"Displacements","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.76244,0,0,0,0,0,0,0,0,0,0,0,0,0.53324,0.0044919,0,0.53326,0,0,0,45,0,0,0,0.22,0.04,0
0.74116,0,0,0,0,0,0,0,0,0,0,0,0,0.53083,0.0053174,0,0.53086,0,0,0,45,0,0,0,0.24,0.04,0
0.71997,0,0,0,0,0,0,0,0,0,0,0,0,0.52799,0.0062483,0,0.52802,0,0,0,45,0,0,0,0.26,0.04,0
0.69892,0,0,0,0,0,0,0,0,0,0,0,0,0.52465,0.0072838,0,0.5247,0,0,0,45,0,0,0,0.28,0.04,0
0.678,0,0,0,0,0,0,0,0,0,0,0,0,0.52076,0.008416,0,0.52083,0,0,0,45,0,0,0,0.3,0.04,0
0.65726,0,0,0,0,0,0,0,0,0,0,0,0,0.51627,0.0096268,0,0.51637,0,0,0,45,0,0,0,0.32,0.04,0
0.6367,0,0,0,0,0,0,0,0,0,0,0,0,0.51115,0.010885,0,0.51127,0,0,0,45,0,0,0,0.34,0.04,0
0.61636,0,0,0,0,0,0,0,0,0,0,0,0,0.50537,0.012141,0,0.50553,0,0,0,45,0,0,0,0.36,0.04,0
0.59627,0,0,0,0,0,0,0,0,0,0,0,0,0.49895,0.013329,0,0.49913,0,0,0,45,0,0,0,0.38,0.04,0
0.57645,0,0,0,0,0,0,0,0,0,0,0,0,0.49192,0.014358,0,0.49214,0,0,0,45,0,0,0,0.4,0.04,0
0.55692,0,0,0,0,0,0,0,0,0,0,0,0,0.4844,0.015119,0,0.48465,0,0,0,45,0,0,0,0.42,0.04,0
0.5377,0,0,0,0,0,0,0,0,0,0,0,0,0.47654,0.015484,0,0.47681,0,0,0,45,0,0,0,0.44,0.04,0
0.51879,0,0,0,0,0,0,0,0,0,0,0,0,0.46858,0.015327,0,0.46885,0,0,0,45,0,0,0,0.46,0.04,0
0.50021,0,0,0,0,0,0,0,0,0,0,0,0,0.46083,0.014542,0,0.46108,0,0,0,45,0,0,0,0.48,0.04,0
0.48193,0,0,0,0,0,0,0,0,0,0,0,0,0.45364,0.013074,0,0.45384,0,0,0,45,0,0,0,0.5,0.04,0
